formation_id,name,formation_type,possession,attack,stability,key_pos_1,key_pos_1_slot,key_pos_2,key_pos_2_slot,key_pos_3,key_pos_3_slot,comment
fm_442_balance,4-4-2,P,5,6,6,kp_target_forward,2,kp_box_to_box,5,kp_center_back,11,"가장 익숙하지만 그래서 더 어려운 전술이다. 두 명의 공격수는 서로 다른 성향을 가질수록 빛난다. 한 명은 버티고, 한 명은 빈 공간을 노린다. 중원은 화려함보다 왕복 능력과 판단력이 중요하며, 수비의 중심에는 라인을 무너뜨리지 않는 센터백이 필요하다. 특별한 약점은 적지만, 어느 한 축이 약하면 평범한 팀이 되어버린다."
fm_433_wing,4-3-3,S,6,8,5,kp_wing_forward_l,1,kp_wing_forward_r,3,kp_playmaker,5,"양쪽 측면을 넓게 벌려 상대 수비를 찢어놓는 공격적인 포메이션. 윙포워드의 스피드와 개인 돌파가 살아나면 경기의 흐름을 순식간에 바꿀 수 있다. 중앙 플레이메이커는 공을 오래 소유하기보다, 어느 쪽 측면이 열렸는지 빠르게 판단해야 한다. 측면 공격수들이 감각적이고 개인 성향이 강할수록 폭발력이 크지만, 중원이 느슨하면 역습에 노출된다."
fm_4231_press,4-2-3-1,T,7,7,6,kp_trequartista,5,kp_anchor,8,kp_wing_forward_r,6,"2선의 창의성과 수비형 미드필더의 균형으로 경기를 설계하는 현대적인 포메이션. 공격형 미드필더가 전방과 중원을 연결하고, 앵커맨이 뒤에서 위험을 지운다. 오른쪽 측면은 전개가 막혔을 때 변화를 만드는 탈출구가 된다. 지성과 조직력이 높은 핵심 선수들이 들어가면 안정적인 압박과 점유가 가능하지만, 2선이 둔하면 공격이 답답해진다."
fm_3412_counter,3-4-1-2,S,4,6,8,kp_trequartista,5,kp_target_forward,2,kp_center_back,11,"후방을 단단히 잠그고 한 번의 전환으로 승부를 보는 전술. 트레콰르티스타는 좁은 공간에서 마지막 패스를 넣어야 하고, 센터 포워드는 수비를 등지고 시간을 벌어야 한다. 중앙 센터백은 3백의 축으로서 단순히 몸싸움만 하는 선수가 아니라 판단력과 조직력을 갖춰야 한다. 점유율은 낮아도 결정적인 장면을 만드는 팀에 어울린다."
fm_352_engine,3-5-2,P,6,6,7,kp_wingback_l,7,kp_wingback_r,9,kp_box_to_box,5,"윙백의 폐와 중원의 활동량으로 상대를 서서히 압박하는 전술. 좌우 윙백이 전진하면 공격 숫자가 늘어나고, 내려오면 5백처럼 변한다. 박스 투 박스 미드필더는 이 전술의 심장으로, 수비 가담과 공격 지원을 쉬지 않고 반복해야 한다. 화려한 개인기보다 체력, 힘, 조직적인 움직임이 팀의 완성도를 결정한다."
fm_343_build,3-4-3,T,7,8,4,kp_wing_forward_l,1,kp_wing_forward_r,3,kp_ball_playing_cb,11,"수비수부터 공격을 시작하는 과감한 3백 전술. 빌드업 센터백이 공을 앞으로 밀어 넣고, 양쪽 윙포워드가 넓은 공간에서 상대 풀백을 흔든다. 기술과 패스가 좋은 수비수가 있다면 후방 전개가 매끄럽지만, 공을 잃는 순간 수비 숫자가 부족해질 수 있다. 공격수들은 감각과 개인 능력이 높을수록 하이라이트 장면을 자주 만든다."
fm_4141_press,4-1-4-1,P,5,5,8,kp_anchor,8,kp_box_to_box,5,kp_wing_forward_l,4,"상대의 전진을 중원에서 끊어내는 압박형 포메이션. 앵커맨은 수비라인 앞을 지키며 위험한 패스를 차단하고, 박스 투 박스 미드필더가 압박의 첫 스위치를 켠다. 왼쪽 측면은 공을 탈취한 뒤 빠르게 역습으로 전환하는 출구가 된다. 공격 숫자는 많지 않지만 조직적인 선수들이 많을수록 상대를 답답하게 만든다."
fm_451_wall,4-5-1,T,6,4,9,kp_anchor,8,kp_playmaker,5,kp_shot_stopper,13,"실점을 줄이는 데 초점을 둔 안정형 전술. 중원을 두껍게 세워 상대의 패스 길을 막고, 골키퍼에게는 결정적인 순간을 버텨낼 선방 능력이 요구된다. 플레이메이커는 적은 공격 기회 속에서도 공을 잃지 않고 정확한 방향을 찾아야 한다. 화려한 대승보다는 끈질긴 1점 차 승부에 강한 팀이 사용하면 좋다."
fm_4312_center,4-3-1-2,T,7,7,5,kp_trequartista,5,kp_poacher,2,kp_box_to_box,8,"측면을 과감히 줄이고 중앙의 밀도로 승부하는 전술. 트레콰르티스타가 수비와 미드필더 사이를 떠돌며 결정적인 패스를 찔러주고, 포처는 그 한 번의 틈을 기다린다. 뒤쪽 미드필더는 공격에 가담하면서도 역습을 막아야 한다. 기술과 감각이 뛰어난 2선, 그리고 위치 선정이 좋은 공격수가 있을 때 위력이 살아난다."
fm_41212_diamond,4-1-2-1-2,T,8,6,6,kp_anchor,8,kp_trequartista,5,kp_target_forward,2,"다이아몬드 중원으로 패스 길을 촘촘하게 만드는 포메이션. 앵커맨이 뒤를 받치고, 트레콰르티스타가 전방의 두 공격수를 연결한다. 센터 포워드는 상대 센터백을 붙잡아 두며 2선이 침투할 공간을 만든다. 측면 폭은 부족하지만 중앙 조합이 좋다면 짧은 패스만으로도 상대 수비를 무너뜨릴 수 있다."
fm_532_lock,5-3-2,P,3,4,10,kp_sweeper,11,kp_wingback_l,7,kp_target_forward,2,"수비 숫자를 늘려 상대의 공격을 받아낸 뒤, 긴 패스와 윙백 전진으로 반격하는 전술. 스위퍼는 마지막 커버와 수비 조율을 맡고, 왼쪽 윙백은 수비에서 공격으로 넘어가는 길목이 된다. 센터 포워드는 적은 지원 속에서도 공을 지켜야 한다. 안정성은 뛰어나지만 공격 전개가 느리면 무승부가 많아질 수 있다."
fm_541_defense,5-4-1,P,2,3,10,kp_shot_stopper,13,kp_center_back,11,kp_wingback_r,9,"강팀을 상대로 버티기 위해 만들어진 극단적인 수비 전술. 골키퍼와 센터백의 집중력이 팀의 생명줄이며, 오른쪽 윙백은 드물게 찾아오는 공격 기회를 살려야 한다. 선수들이 조직적으로 움직이면 상대는 슈팅 공간을 찾기 어렵다. 다만 공격수 고립이 심해, 빠른 윙백이나 강한 원톱이 없으면 경기 주도권을 완전히 내줄 수 있다."
fm_3241_possession,3-2-4-1,T,9,8,2,kp_false_nine,2,kp_playmaker,5,kp_ball_playing_cb,11,"후방부터 전진 배치해 점유율과 공격 숫자를 끌어올리는 도전적인 전술. 펄스 나인은 내려와 패스 연결과 공간 창출을 담당하고, 플레이메이커는 중앙에서 템포를 조절한다. 빌드업 센터백은 수비수이면서도 공격의 시작점이 되어야 한다. 공을 오래 소유할수록 강하지만, 한 번의 실수로 넓은 뒷공간을 내줄 수 있다."
